Bussiness Id,Positive Words,P_Word_Count,Negative words,N_Word_Count,Stars
0GU8aE3_W57Yohjc0orUEw,,0,"Embarresed, Disappoint, Sorry",4,1
0GU8aE3_W57Yohjc0orUEw,"Like, Bloom, Knowledge",3,Mess,1,4
0GU8aE3_W57Yohjc0orUEw,,0,"Worst, Late, Dirty, Miserable",4,1
7EPxeZDPHWudd6l8oR3J3Q,,0,"Imprudent, Rude",2,1
7EPxeZDPHWudd6l8oR3J3Q,"Good, Manner, Decent, Efficient",4,DimLight,1,4
7EPxeZDPHWudd6l8oR3J3Q,"Excellent, Perfect , Fact, Great",4,DimLight,1,4
07AP_aqb2ygBfYJY-h4jKw,"Fun, Nice, Great, Worthy",4,Less,1,4
07AP_aqb2ygBfYJY-h4jKw,"Fabulous, Great, Classy, Worth",4,,0,5
07AP_aqb2ygBfYJY-h4jKw,"Hot, Cute, Reasonable, Super",4,,0,5
07AP_aqb2ygBfYJY-h4jKw,"Like, Kindness, Love",3,Closed,1,4
07AP_aqb2ygBfYJY-h4jKw,"Love, Greatest, Newest",3,,0,5
lJFBgSAccsMGwIjfD7LMeQ,"Better, Pretty",2,"Worst, Regardless, Mess",3,2
lJFBgSAccsMGwIjfD7LMeQ,"Special, Great, Amazing",3,,0,4
lJFBgSAccsMGwIjfD7LMeQ,,0,"Dead, Loud, Rare, Worst",4,1
lJFBgSAccsMGwIjfD7LMeQ,"Good, Pretty, Great, Understanable",4,"Bad, Unorganised",2,3
lJFBgSAccsMGwIjfD7LMeQ,"Great, Good, Amazing, Tasty",4,Dead,1,4
lJFBgSAccsMGwIjfD7LMeQ,"Incredible, Clean, Light",3,"Loud, Immodest",2,3
6KL0lRKtgTof-NoFuiXwdA,"Awesome, Good, Buddy",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Hilarious, Happy, Buddy, Best",4,Dimlight,1,4
6KL0lRKtgTof-NoFuiXwdA,"Best, Good, Worth",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Good, Friend, Best, Awesome",4,Bad,1,4
6KL0lRKtgTof-NoFuiXwdA,"Special, Okay",2,Pricey,1,3
6KL0lRKtgTof-NoFuiXwdA,"Better, Amazing, Wow, Lovely",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Graet, Good, Luckily, Easily",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Definite, Generous, Great",3,Intimate,1,4
6KL0lRKtgTof-NoFuiXwdA,"Best, Hillarious, Invite,comedy",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Family, Best, Easy",3,Bad,1,4
6KL0lRKtgTof-NoFuiXwdA,"Prime, Enjoy, Awesome, Great",4,Pain,1,4
6KL0lRKtgTof-NoFuiXwdA,"Immediately, Movable, Peer",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Original, Philantrophy, Purify",3,Toxic,1,4
HbZxMems5cEO8J1fBsw-sg,"Lesson, Mother, Perfection, Life",4,,0,5
HbZxMems5cEO8J1fBsw-sg,Sweet,1,"Tease, Spear, Poison",3,2
HbZxMems5cEO8J1fBsw-sg,"Healthy, Enjoy, Good, Easy",4,,0,5
HbZxMems5cEO8J1fBsw-sg,,0,"Stupid, Luantic, Tasteless",3,1
HbZxMems5cEO8J1fBsw-sg,"Luck, Best, Laugh",3,Poor,1,4
HbZxMems5cEO8J1fBsw-sg,"Friendly, GOOD, awesome, Perfect",4,,1,4
HbZxMems5cEO8J1fBsw-sg,"Leisure, Mindful, Honest",3,,0,5
HbZxMems5cEO8J1fBsw-sg,"Morality, Tasty, Amazing",3,Dimlight,1,4
HbZxMems5cEO8J1fBsw-sg,"Best, Perfect, Sweet, Clean",4,Unorganised,0,5
HbZxMems5cEO8J1fBsw-sg,"Modest, Tasty",2,,0,5
HbZxMems5cEO8J1fBsw-sg,,0,"Thief, Mess, Problem, Out",4,1
HbZxMems5cEO8J1fBsw-sg,"Good, Clean",2,"Pricey, Bad",2,2
2vkPcB28rcaX3BgJEGzjyw,"Polite, Safely, Thankyou",3,,0,5
2vkPcB28rcaX3BgJEGzjyw,"Reserve, Easy, Efficient, Friendly",4,,0,5
2vkPcB28rcaX3BgJEGzjyw,"Friendly, Help, Courteous",3,,0,5
